             we,             Fn,       R0 (deg),             OG,           Beff,             Bf,             Be,             Bl,            Bbk,             Bw,             B1,             B2
  1.636384E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.718115E-002,  4.076269E-005,  1.257675E-003,  0.000000E+000,  3.451990E-003,  1.243072E-002,  4.076269E-005,  2.766486E-002
  1.679447E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.693949E-002,  4.159865E-005,  1.290772E-003,  0.000000E+000,  3.542832E-003,  1.206429E-002,  4.159865E-005,  2.766486E-002
  1.722509E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.668858E-002,  4.243075E-005,  1.323869E-003,  0.000000E+000,  3.633674E-003,  1.168861E-002,  4.243075E-005,  2.766486E-002
  1.765572E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.641468E-002,  4.325911E-005,  1.356965E-003,  0.000000E+000,  3.724516E-003,  1.128994E-002,  4.325911E-005,  2.766486E-002
  1.808635E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.596176E-002,  4.408385E-005,  1.390062E-003,  0.000000E+000,  3.815357E-003,  1.071225E-002,  4.408385E-005,  2.766486E-002
  1.851698E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.627674E-002,  4.490508E-005,  1.423159E-003,  0.000000E+000,  3.906199E-003,  1.090247E-002,  4.490508E-005,  2.766486E-002
  1.894760E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.520378E-002,  4.572292E-005,  1.456255E-003,  0.000000E+000,  3.997041E-003,  9.704756E-003,  4.572292E-005,  2.766486E-002
  1.937823E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.613810E-002,  4.653744E-005,  1.489352E-003,  0.000000E+000,  4.087883E-003,  1.051433E-002,  4.653744E-005,  2.766486E-002
  1.980886E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.562404E-002,  4.734876E-005,  1.522449E-003,  0.000000E+000,  4.178725E-003,  9.875517E-003,  4.734876E-005,  2.766486E-002
  2.023949E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.646936E-002,  4.815696E-005,  1.555546E-003,  0.000000E+000,  4.269567E-003,  1.059609E-002,  4.815696E-005,  2.766486E-002
  2.067011E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.562733E-002,  4.896213E-005,  1.588642E-003,  0.000000E+000,  4.360409E-003,  9.629316E-003,  4.896213E-005,  2.766486E-002
  2.110074E+000,  0.000000E+000,  1.002676E+001,  6.000000E+000,  1.225707E-002,  4.976435E-005,  1.621739E-003,  0.000000E+000,  4.451250E-003,  6.134318E-003,  4.976435E-005,  2.766486E-002
